,artist_name,track_name,track_id,popularity
0,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,98
1,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,94
2,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,87
3,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,84
4,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,81
5,Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,82
6,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,85
7,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,82
8,Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,80
9,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,81
10,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,99
11,The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,93
12,The Weeknd,After Hours,2p8IUWQDrpjuFltbdgLOag,88
13,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,86
14,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,86
15,The Weeknd,Scared To Live,4BGZF4oLbTL0pWm7C18pbv,83
16,The Weeknd,Hardest To Love,6kWxIqQDsKFYCJGbU4AjCX,83
17,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,85
18,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,84
19,The Weeknd,Alone Again,6b5P51m8xx2XA6U7sdNZ5E,82
20,Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I,100
21,Roddy Ricch,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,91
22,NLE Choppa,Walk Em Down (feat. Roddy Ricch),4cSSL3YafYjM3yjgFO1vJg,89
23,DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,88
24,Mustard,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,89
26,Roddy Ricch,Down Below,4SWWe2OYC4mqf40Gc2RSdl,79
